THUMB_MCP_angle,INDEX_MCP_angle,MIDDLE_MCP_angle,RING_MCP_angle,PINKY_MCP_angle,INDEX_PIP_angle,MIDDLE_PIP_angle,RING_PIP_angle,PINKY_PIP_angle,INDEX_DIP_angle,MIDDLE_DIP_angle,RING_DIP_angle,PINKY_DIP_angle,THUMB_TMC_angle,THUMB_IP_angle,THUMB_INDEX_Abduction_angle,LABEL
125.8185315,141.5500883,131.2762465,126.9974031,122.9621209,153.7211295,69.35499697,54.0005834,55.18499659,96.68387688,155.7152965,152.8786261,155.2147548,160.4352902,132.2832236,45.4752854,3
113.1968503,138.9827169,131.0281749,128.1142997,125.2458553,170.1576394,70.93128731,55.5265764,55.82952478,162.5436156,156.8776658,156.9134359,159.0160739,158.2384259,144.9881611,41.07378557,3
163.4686522,158.6046681,99.13667713,92.81841177,92.78231015,120.2474022,90.62862442,88.32122063,89.89452866,155.7220979,108.8772385,107.4320664,113.6053496,147.0092776,115.2135638,61.62184616,3
116.1002185,141.3935423,131.4926026,126.743972,121.4775462,163.4546275,74.81732915,60.75005942,62.4341938,156.1226182,154.7612068,153.1259099,155.7994797,161.5912056,138.5252739,45.57651727,3
147.5718975,171.8664569,139.2250666,119.9566775,109.8393611,109.1351341,91.09444902,72.65899823,83.87677459,150.4025406,113.7283804,137.5010575,138.6833812,133.3186685,168.100816,44.05735089,3
155.573905,158.9858871,150.7434075,112.3841675,111.7672497,122.5907013,110.8953888,92.03824672,87.61556096,150.981691,114.8116442,111.0238046,120.5070848,144.3006369,168.6236384,69.69152305,3
152.1443188,171.1103721,116.4099229,106.5405116,102.3660058,101.2646711,106.6272903,109.598331,119.0228669,152.247729,112.8870564,117.2176974,120.5578853,113.7814375,159.1691032,48.76625055,3
149.2076991,168.3212412,121.6742377,102.1287064,98.00331042,100.165639,96.78513703,106.1590101,112.7607169,153.838177,114.4614246,111.6842761,122.3035003,107.1452822,157.7192542,47.37696357,3
121.7485438,143.5629051,129.094391,132.5435049,149.2332927,158.4362885,69.18145234,51.69850565,32.09449466,100.959392,155.0755418,160.6719627,167.2632902,149.2498494,149.6432421,33.77233648,3
158.3591976,129.6372732,137.6779112,144.9222997,144.5487638,164.5225688,161.5992392,164.0623717,168.6836633,167.5057049,170.4363138,172.0103225,176.1376042,154.9624058,152.1280356,65.05507321,4
164.0319971,113.6327515,107.374586,109.2591542,112.5389483,174.602434,177.2028464,173.0612402,170.9013785,179.5848041,179.6905406,179.4809835,176.8579831,144.7546532,162.4354061,45.4415184,4
166.9811349,93.81860467,87.23452772,87.99873756,103.6340096,167.9964557,163.7210866,168.5447918,178.5424785,176.9731434,178.7183512,176.2678666,172.6069063,159.7515186,171.5910742,57.05746679,4
147.4133431,104.1937793,113.6305598,118.8769282,125.0905345,159.1616087,152.1263369,156.2490958,158.935519,172.8485184,171.6197904,165.3590115,167.2545395,137.6670418,156.9807152,41.36214754,4
151.4661766,121.4186717,128.1163636,125.5412649,124.0943232,174.3890874,173.695016,166.445991,164.2978532,176.2103102,174.702889,174.9705242,174.4216452,142.3968924,171.135074,39.97580909,4
152.4867601,124.5200399,134.6739799,134.6863026,137.5842629,168.8513674,174.5930142,171.5367612,168.2590086,169.7069402,176.9411125,174.4330774,173.4769208,148.0517647,169.3915604,62.46072467,4
